Country,Year,Sport,Place
USA,1932,Track,Gold
USA,1984,Baseball,Silver
USA,2012,Water Polo,Gold
USA,2012,Swimming,Silver
USA,1960,Track,Silver
USA,1988,Baseball,Gold
USA,1952,Track,Bronze
USA,1924,Track,Gold
USA,1984,Volleyball,Silver
USA,1992,Volleyball,Bronze
USA,2000,Swimming,Gold
USA,2004,Swimming,Silver
USA,2004,Swimming,Gold
USA,1960,Swimming,Bronze
USA,1964,Swimming,Bronze
USA,2000,Swimming,Gold
USA,1928,Track,Gold
USA,1976,Swimming,Silver
USA,1948,Track,Gold
USA,1904,Track,Bronze
USA,1996,Swimming,Gold
Finland,1984,Track,Bronze
USA,1988,Track,Bronze
USA,2008,Water Polo,Silver
USA,1936,Track,Gold
USA,1984,Swimming,Gold
USA,1964,Track,Gold
USA,1948,Track,Gold
USA,1948,Track,Gold
USA,1956,Diving,Bronze
USA,1988,Basketball,Gold
USA,1992,Basketball,Bronze
USA,1928,Track,Silver
USA,1932,Track,Gold
USA,1996,Softball,Gold
USA,2000,Softball,Gold
Canada,1976,Swimming,Bronze
USA,1928,Track,Bronze
USA,1928,Swimming,Bronze
USA,1932,Swimming,Gold
USA,1964,Swimming,Gold
USA,2008,Water Polo,Silver
USA,2012,Water Polo,Gold
USA,1996,Track,Silver
USA,2000,Track,Bronze
Great Britain,2008,Track,Bronze
USA,1952,Track,Silver
USA,1956,Track,Silver
USA,2008,Volleyball,Silver
USA,2012,Volleyball,Silver
USA,1936,Track,Gold
USA,1936,Track,Gold
USA,1956,Track,Gold
USA,1984,Volleyball,Gold
USA,2000,Track,Bronze
Spain,2012,Water Polo,Silver
USA,1988,Swimming,Gold
USA,1988,Swimming,Gold
USA,1988,Swimming,Gold
USA,1992,Swimming,Silver
USA,1992,Swimming,Gold
West Germany,1984,Swimming,Bronze
West Germany,1984,Swimming,Silver
West Germany,1988,Swimming,Bronze
France,2012,Swimming,Bronze
USA,2004,Track,Silver
USA,2008,Track,Silver
USA,2008,Track,Gold
USA,2012,Track,Gold
USA,2012,Track,Gold
USA,2012,Track,Gold
USA,1956,Rowing,Gold
USA,1960,Rowing,Bronze
USA,1964,Rowing,Gold
USA,1976,Yachting,Bronze
USA,1964,Swimming,Silver
USA,1936,Track,Silver
USA,1984,Swimming,Gold
Australia,1980,Swimming,Gold
Australia,1980,Swimming,Bronze
USA,1976,Swimming,Gold
USA,1976,Swimming,Gold
USA,1972,Swimming,Bronze
USA,1928,Diving,Silver
USA,1928,Diving,Bronze
USA,1932,Diving,Gold
USA,1932,Diving,Silver
Canada,1976,Swimming,Bronze
Canada,1976,Swimming,Bronze
USA,1908,Volleyball,Gold
USA,1948,Track,Bronze
USA,1956,Track,Silver
USA,1980,Volleyball,Silver
USA,1992,Volleyball,Bronze
Canada,2004,Diving,Bronze
USA,2008,Water Polo,Silver
Australia,1956,Swimming,Gold
Australia,1956,Swimming,Gold
USA,1924,Track,Gold
USA,1924,Track,Gold
USA,1928,Track,Gold
USA,1952,Track,Gold
USA,1992,Volleyball,Bronze
USA,1988,Equestrian,Silver
USA,2004,Swimming,Gold
USA,2004,Swimming,Silver
USA,2008,Swimming,Bronze
USA,1996,Baseball,Bronze
USA,1988,Swimming,Gold
USA,1992,Swimming,Bronze
USA,2000,Swimming,Bronze
USA,2000,Swimming,Silver
USA,2004,Swimming,Bronze
USA,2004,Swimming,Gold
USA,2008,Swimming,Gold
USA,1912,Track,Gold
USA,2012,Beach Volleyball,Silver
USA,1964,Modern Pentathlon,Silver
Hungary,1996,Track,Gold
West Germany,1964,Swimming,Bronze
West Germany,1964,Swimming,Silver
West Germany,1964,Swimming,Silver
USA,1956,Track,Bronze
Russia,2000,Water Polo,Bronze
Australia,1960,Swimming,Gold
Australia,1960,Swimming,Bronze
Australia,1960,Swimming,Bronze
USA,2000,Swimming,Gold
USA,2000,Swimming,Gold
USA,2000,Swimming,Gold
USA,2004,Swimming,Gold
USA,2008,Water Polo,Silver
USA,1932,Diving,Bronze
USA,1964,Track,Gold
USA,1964,Track,Gold
USA,1960,Swimming,Silver
USA,1960,Swimming,Gold
USA,1948,Diving,Gold
USA,1948,Diving,Bronze
USA,1952,Diving,Gold
France,2012,Swimming,Gold
France,2012,Swimming,Silver
USA,1996,Basketball,Gold
USA,2000,Basketball,Gold
USA,2004,Basketball,Gold
USA,2008,Basketball,Gold
Germany,2000,Diving,Bronze
USA,1960,Track,Bronze
USA,1964,Track,Gold
Hungary,1952,Water Polo,Gold
Hungary,1956,Water Polo,Gold
Germany,1928,Fencing,Gold
Germany,1936,Fencing,Silver
USA,1972,Swimming,Bronze
USA,1984,Basketball,Gold
USA,1984,Baseball,Silver
Canada,1932,Track,Gold
USA,1936,Track,Gold
Tunisia,2008,Swimming,Gold
Tunisia,2012,Swimming,Bronze
Tunisia,2012,Swimming,Gold
USA,1932,Track,Silver
USA,1932,Track,Bronze
USA,1936,Track,Silver
USA,1936,Track,Gold
USA,1984,Basketball,Gold
USA,1996,Track,Gold
Jamaica,1968,Track,Silver
Jamaica,1972,Track,Bronze
Russia,2012,Swimming,Bronze
USA,1960,Track,Silver
USA,1976,Swimming,Gold
USA,1976,Swimming,Gold
USA,1976,Swimming,Silver
USA,1976,Swimming,Gold
USA,1976,Swimming,Gold
USA,2012,Track,Silver
USA,1984,Swimming,Gold
USA,1952,Track,Gold
USA,1956,Track,Gold
USA,1960,Track,Silver
USA,2000,Water Polo,Silver
Mexico,1968,Tennis,Gold
USA,2000,Water Polo,Silver
Canada,1984,Swimming,Silver
Canada,1984,Swimming,Gold
